parameter,value,kind,source,date,url,note,evidence_type,read_by_this_run
capital_deployed.hyperscaler_capex_2026_usd_bn,602.0,assumption,CreditSights via Global Data Center Hub,2026-01,https://www.globaldatacenterhub.com/p/us-data-center-infrastructure-the,"Five largest hyperscalers, up 36% YoY.",inherited_estimate_or_forecast_not_realized,True
capital_deployed.hyperscaler_ai_tied_share,0.75,assumption,CreditSights,2026-01,https://www.globaldatacenterhub.com/p/us-data-center-infrastructure-the,Roughly $450B of the $602B is AI-tied. The remainder is general cloud and should not be converted into AI capacity.,inherited_estimate_or_forecast_not_realized,True
capital_deployed.hyperscaler_capex_upper_with_ancillary_usd_bn,670.0,assumption,Trackers cited by AgentMarketCap,2026-04,https://agentmarketcap.ai/blog/2026/04/17/ai-inference-overtakes-training-two-thirds-2026-compute,"Big four north of $600B, some trackers $650-690B including ancillary infrastructure. Midpoint used. Scope differs from the CreditSights figure; do not treat as an upward revision of the same number.",inherited_estimate_or_forecast_not_realized,False
capital_deployed.memory_share_of_hyperscaler_ai_spend,0.3,observed,AgentMarketCap synthesis,2026-04,https://agentmarketcap.ai/blog/2026/04/17/ai-inference-overtakes-training-two-thirds-2026-compute,"Fourfold jump from 2023, because inference is memory-bandwidth bound in ways training is not. A composition signal for the training-to-inference shift, visible in the bill of materials.",inherited_source_not_reverified,False
buyer_segments.hyperscaler_share,0.72,assumption,Explicit model judgment; no external observation,2026,,ASSUMPTION. Derived residually: hyperscaler AI capex ~$450B against neocloud and other capital deployment. Sensitivity 0.62-0.80.,model_judgment,True
buyer_segments.neocloud_share,0.16,assumption,Explicit model judgment; no external observation,2026,,"ASSUMPTION, anchored on observed neocloud contracted power and financing scale rather than on revenue. Neoclouds deploy capital far ahead of revenue, so a revenue-based share would understate their chip buying materially.",model_judgment,True
buyer_segments.enterprise_and_sovereign_share,0.12,assumption,Explicit model judgment; no external observation,2026,,ASSUMPTION. Enterprise self-build plus sovereign programmes. The weakest-evidenced segment in the model.,model_judgment,True
neocloud.revenue_2025_usd_bn,25.0,observed,ModulEdge synthesis of company filings,2026-06,https://www.moduledge.com/blog/neocloud,"Q4 2025 alone reached $9B, up 223% YoY. See definitional conflict note in _meta.",inherited_source_not_reverified,False
neocloud.revenue_2030_forecast_usd_bn,180.0,assumption,Synergy Research,2026-06,https://www.moduledge.com/blog/neocloud,"Approaching $400B by 2031, implying roughly 58% CAGR. A forecast, not an observation of the market.",reported_forecast_or_scenario_not_realized,False
neocloud.coreweave_fy2026_revenue_guide_usd_bn,12.8,assumption,CoreWeave Q2 2026 release,2026-08,https://www.marktechpost.com/2026/08/23/best-gpu-neoclouds-2026/,Guidance range $12.4-13.2B; midpoint used.,reported_forecast_or_scenario_not_realized,False
