parameter,value,kind,source,date,url,note,evidence_type,read_by_this_run,formula
pipeline.us_disclosed_pipeline_gw,241.0,observed,Wood Mackenzie via Avanza Energy,2026-03,https://avanzaenergy.substack.com/p/record-demand-declining-construction,Total disclosed US data center pipeline.,inherited_source_not_reverified,False,
pipeline.share_under_active_development,0.33,observed,Wood Mackenzie,2026-03,https://avanzaenergy.substack.com/p/record-demand-declining-construction,"Inherited pipeline snapshot share. Applying it as a cohort conversion gate is a modeling proxy, not an observed lifetime conversion probability.",inherited_source_not_reverified,True,
pipeline.sightline_2026_announced_gw,16.0,observed,Sightline Climate via Bloomberg,2026-05,https://tech-insider.org/us-ai-data-center-delays-cancellations-7gw-capacity-crisis-2026/,Capacity announced for 2026 delivery.,inherited_source_not_reverified,False,
pipeline.sightline_2026_under_construction_gw,5.0,observed,Sightline Climate via Bloomberg,2026-05,https://tech-insider.org/us-ai-data-center-delays-cancellations-7gw-capacity-crisis-2026/,"Implies a 31% announced-to-construction rate for the near-dated cohort, consistent with the Wood Mackenzie 33%.",inherited_source_not_reverified,False,
pipeline.delay_or_cancel_rate_low,0.3,assumption,Sightline Climate,2026-05,https://tech-insider.org/us-ai-data-center-delays-cancellations-7gw-capacity-crisis-2026/,Low end of expected 2026 delay/cancellation range.,inherited_source_not_reverified,False,
pipeline.delay_or_cancel_rate_high,0.5,assumption,Sightline Climate,2026-05,https://tech-insider.org/us-ai-data-center-delays-cancellations-7gw-capacity-crisis-2026/,High end.,inherited_source_not_reverified,False,
pipeline.quarterly_pipeline_additions_q4_2025_gw,25.0,observed,Wood Mackenzie via Avanza Energy,2026-03,https://avanzaenergy.substack.com/p/record-demand-declining-construction,"New pipeline additions in Q4 2025, down 50% from ~50 GW in Q3 2025. Annualises to ~100 GW/yr of fresh announcements. Used as the ongoing announcement FLOW; the 241 GW disclosed figure is the STOCK that flow accumulates into, so the two must not both be fed to the funnel or announcements are double counted.",inherited_source_not_reverified,True,
pipeline.annual_announcement_flow_gw,100.0,derived,Derived by annualising Wood Mackenzie Q4 2025 additions,2026-03,https://avanzaenergy.substack.com/p/record-demand-declining-construction,Annual run-rate extrapolation from Q4; not an observed annual flow.,inherited_source_not_reverified,True,"{'operation': 'product', 'inputs': ['pipeline.quarterly_pipeline_additions_q4_2025_gw', 'model.quarter_annualization_factor']}"
grid_interconnection.historical_ir_to_cod_completion_rate,0.13,observed,"LBNL, Queued Up: 2026 Edition",2026-07,https://emp.lbl.gov/queues,Share of capacity submitting interconnection requests 2000-2020 that had reached commercial operation by end-2025. The longest-run empirical estimate of announcement-to-delivery conversion available anywhere. Generation-side; used here as the outside view on any queue-dependent pathway.,inherited_source_not_reverified,False,
grid_interconnection.historical_withdrawal_rate,0.75,observed,"LBNL, Queued Up: 2026 Edition",2026-07,https://emp.lbl.gov/queues,Withdrawn share of the same cohort. Remaining 10% still active.,inherited_source_not_reverified,False,
